Date,Employee_ID,Team,Tasks_Completed,Hours_Worked,Productivity_Score,Task_Type,Task_Priority,Overtime_Hours,Meeting_Hours
2022-01-01,E123,Team D,9,6.586605317808283,82.43,Code Review,Low,0.2,2.91
2022-01-01,E124,Team C,2,9.204295007344223,80.13,Feature Development,High,2.04,0.31
2022-01-01,E125,Team A,6,6.385880327568651,69.95,Feature Development,Low,0.52,1.66
2022-01-01,E126,Team C,9,7.630245514099014,89.34,Bug Fix,Low,0.87,2.88
2022-01-01,E127,Team B,2,9.255631609155868,78.96,Security Patching,High,1.88,2.44
2022-01-02,E123,Team A,4,7.096816205642419,71.57,Testing,Medium,0.51,2.77
2022-01-02,E124,Team C,9,6.864362417801489,74.32,Database Optimization,Medium,2.88,0.41
2022-01-02,E125,Team C,3,9.682812854642368,92.58,Code Review,Medium,0.43,2.44
2022-01-02,E126,Team D,9,8.232658260453384,98.69,Security Patching,Low,0.1,0.73
2022-01-02,E127,Team A,6,8.69631004950439,95.13,User Support,Low,0.74,3.4
2022-01-03,E123,Team C,6,7.141099911712463,91.56,Documentation,Medium,0.75,2.83
2022-01-03,E124,Team A,2,7.249384992418795,60.96,Bug Fix,Low,2.48,3.77
2022-01-03,E125,Team C,3,8.048988064266666,77.55,User Support,Low,0.92,0.8
2022-01-03,E126,Team B,4,9.304963971464124,61.3,Bug Fix,High,2.92,1.82
2022-01-03,E127,Team C,7,7.536538578063196,96.22,Security Patching,Medium,2.56,2.77
2022-01-04,E123,Team A,3,6.962955928033679,79.86,Testing,High,0.93,3.14
2022-01-04,E124,Team C,3,9.653536058448932,85.49,System Maintenance,Low,0.29,0.64
2022-01-04,E125,Team B,1,7.037498726147839,68.7,Security Patching,High,1.79,3.16
2022-01-04,E126,Team D,4,7.846197505209869,68.99,Code Review,Low,1.34,3.88
2022-01-04,E127,Team D,4,6.484533221656706,90.33,Code Review,Medium,1.48,1.65
2022-01-05,E123,Team A,8,6.12847913103562,62.65,Documentation,Medium,0.11,1.93
2022-01-05,E124,Team C,9,9.072856172221378,69.67,System Maintenance,Medium,2.69,2.56
2022-01-05,E125,Team D,4,7.968632941585587,79.06,User Support,High,0.21,3.3
2022-01-05,E126,Team A,2,9.574536993025902,80.48,Code Review,Medium,1.48,0.45
2022-01-05,E127,Team A,1,6.439333460626292,69.94,System Maintenance,High,0.91,0.64
2022-01-06,E123,Team A,1,7.956306773058376,60.64,Deployment,Medium,2.79,1.29
2022-01-06,E124,Team C,3,9.298641679606582,70.75,Feature Development,Medium,0.65,1.55
2022-01-06,E125,Team A,3,6.666850200487129,79.22,System Maintenance,Low,1.51,0.55
2022-01-06,E126,Team D,5,8.182844316056803,73.3,Security Patching,High,1.98,1.05
2022-01-06,E127,Team C,8,7.492431358466018,77.84,Code Review,Medium,1.48,0.36
2022-01-07,E123,Team D,2,7.493575700712896,78.53,System Maintenance,Medium,0.77,2.24
2022-01-07,E124,Team C,8,6.861832105973859,64.97,Feature Development,Medium,2.56,3.6
2022-01-07,E125,Team D,7,7.324630145009238,88.1,Security Patching,Medium,2.8,3.49
2022-01-07,E126,Team A,10,6.681808008156651,87.06,Deployment,High,2.73,3.46
2022-01-07,E127,Team C,9,7.781566345594575,87.11,Security Patching,Low,0.68,0.73
2022-01-08,E123,Team C,6,9.182622812666237,71.14,Testing,Medium,2.71,2.09
2022-01-08,E124,Team C,1,9.522163440610463,64.74,Bug Fix,High,2.8,0.21
2022-01-08,E125,Team D,2,6.707970721788632,62.02,Feature Development,High,2.51,2.31
2022-01-08,E126,Team C,1,6.815470882006961,77.25,Testing,Low,2.28,2.48
2022-01-08,E127,Team C,4,6.911442291822639,62.92,Security Patching,High,1.34,1.33
2022-01-09,E123,Team A,1,6.348890741172366,92.41,Bug Fix,Low,0.24,1.26
